,start_date,start_station_code,end_date,end_station_code,duration_sec,is_member
1713749,2014-08-03 18:40,6149,2014-08-03 18:52,6195,698,1
2633647,2014-09-27 08:58,6254,2014-09-27 09:09,6915,694,1
2811109,2014-10-10 17:00,6202,2014-10-10 17:05,6211,292,1
2178157,2014-08-29 16:59,6396,2014-08-29 17:09,6397,562,1
354221,2014-05-19 13:57,6205,2014-05-19 14:21,6052,1430,1
635481,2014-06-05 07:26,6380,2014-06-05 07:42,6148,956,1
762862,2014-06-11 22:01,6261,2014-06-11 22:11,6335,623,1
1894231,2014-08-13 00:25,6184,2014-08-13 00:30,6145,317,1
895644,2014-06-20 08:16,6255,2014-06-20 08:38,6083,1281,1
2374986,2014-09-10 07:45,6208,2014-09-10 07:52,6068,422,1
1636981,2014-07-30 18:39,6113,2014-07-30 18:49,6156,553,1
876245,2014-06-19 11:46,6042,2014-06-19 12:03,6406,994,1
806326,2014-06-15 20:18,6243,2014-06-15 20:36,6166,1054,1
1264193,2014-07-10 15:30,6257,2014-07-10 15:49,6749,1158,1
1668211,2014-08-01 14:25,6410,2014-08-01 14:33,6412,480,1
1399906,2014-07-17 18:02,6150,2014-07-17 18:14,6184,684,1
1035459,2014-06-28 00:22,6389,2014-06-28 00:24,6340,133,1
3095367,2014-11-10 11:07,6379,2014-11-10 11:12,6426,286,1
505096,2014-05-28 21:11,6910,2014-05-28 21:34,6113,1360,1
540124,2014-05-30 18:08,6314,2014-05-30 18:17,6183,554,1
2042044,2014-08-22 16:55,6090,2014-08-22 16:57,6088,149,1
1675589,2014-08-01 18:59,6098,2014-08-01 19:08,6042,556,1
2837421,2014-10-13 15:56,6019,2014-10-13 16:04,6248,511,1
2274346,2014-09-04 10:46,6173,2014-09-04 10:51,6012,309,1
770697,2014-06-13 06:56,6362,2014-06-13 07:15,6020,1141,1
155699,2014-05-06 07:33,6164,2014-05-06 07:50,6070,1002,1
855490,2014-06-18 12:50,6046,2014-06-18 13:18,6501,1676,0
2142734,2014-08-27 20:43,6221,2014-08-27 20:47,6201,236,1
252744,2014-05-12 14:34,6207,2014-05-12 14:47,6140,731,1
1787427,2014-08-07 13:45,6234,2014-08-07 13:52,6196,390,0
598289,2014-06-02 19:49,6384,2014-06-02 19:57,6129,487,1
1633324,2014-07-30 16:39,6354,2014-07-30 16:49,6435,632,1
2484800,2014-09-17 17:07,6072,2014-09-17 17:14,6014,442,1
637170,2014-06-05 08:28,6275,2014-06-05 08:56,6225,1655,1
2694690,2014-10-01 08:04,6224,2014-10-01 08:18,6224,861,1
1260766,2014-07-10 11:57,6184,2014-07-10 12:08,6912,696,1
478222,2014-05-26 16:14,6741,2014-05-26 16:17,6038,211,1
1423268,2014-07-18 18:55,6061,2014-07-18 19:06,6039,665,0
302519,2014-05-15 12:05,6012,2014-05-15 12:23,6221,1115,1
1943639,2014-08-17 16:09,6921,2014-08-17 16:23,6097,839,1
2994834,2014-10-29 13:52,6184,2014-10-29 13:57,6192,269,1
1984822,2014-08-19 18:40,6064,2014-08-19 18:55,6231,887,1
1188379,2014-07-06 10:50,6118,2014-07-06 10:55,6112,309,1
2389510,2014-09-10 18:31,6084,2014-09-10 18:44,6088,767,1
2437060,2014-09-14 16:52,6251,2014-09-14 16:56,6322,227,1
2405199,2014-09-11 19:28,6245,2014-09-11 19:42,6906,870,1
865806,2014-06-18 20:04,6086,2014-06-18 20:11,6059,413,1
2735693,2014-10-03 16:04,6266,2014-10-03 16:20,6200,944,1
503931,2014-05-28 19:49,6436,2014-05-28 19:54,6194,267,1
1284623,2014-07-11 13:25,6158,2014-07-11 15:01,6214,5777,1
2427731,2014-09-13 12:06,6044,2014-09-13 12:15,6152,504,1
2876950,2014-10-16 18:45,6042,2014-10-16 18:54,6104,551,0
354292,2014-05-19 14:01,6176,2014-05-19 14:11,6224,640,1
2683756,2014-09-30 13:42,6166,2014-09-30 13:53,6221,662,1
2895196,2014-10-18 12:17,6372,2014-10-18 12:23,6236,366,1
2447845,2014-09-15 15:18,6111,2014-09-15 15:45,6113,1599,0
3041860,2014-11-03 15:33,6086,2014-11-03 16:04,6501,1837,0
1623627,2014-07-30 07:33,6188,2014-07-30 07:47,6078,871,1
2021451,2014-08-21 16:29,6322,2014-08-21 16:34,6250,306,1
2146,2014-04-16 10:40,6009,2014-04-16 11:08,6114,1662,0
847890,2014-06-17 21:43,6012,2014-06-17 22:01,6197,1119,1
2915042,2014-10-20 18:25,6729,2014-10-20 18:32,6119,389,1
1078559,2014-06-30 14:33,6066,2014-06-30 14:42,6020,499,1
463001,2014-05-25 16:13,6044,2014-05-25 16:18,6173,280,1
665419,2014-06-06 18:21,6267,2014-06-06 18:30,6138,545,1
488188,2014-05-27 17:36,6037,2014-05-27 18:15,6032,2330,1
181600,2014-05-07 17:58,6086,2014-05-07 18:05,6403,452,1
10456,2014-04-17 22:57,6179,2014-04-17 23:03,6014,307,1
3117147,2014-11-12 21:46,6086,2014-11-12 21:55,6059,503,1
1330717,2014-07-14 11:39,6243,2014-07-14 12:19,6034,2413,1
3079048,2014-11-07 16:35,6178,2014-11-07 17:00,6150,1499,0
2260070,2014-09-03 17:10,6043,2014-09-03 17:18,6067,501,1
1338796,2014-07-14 17:50,6213,2014-07-14 18:01,6004,642,1
979724,2014-06-25 15:20,6131,2014-06-25 15:32,6380,741,1
2894777,2014-10-18 11:36,6157,2014-10-18 11:37,6186,77,1
3126362,2014-11-14 08:03,6150,2014-11-14 08:19,6094,915,1
1195978,2014-07-06 17:16,6165,2014-07-06 17:23,6153,391,1
2075618,2014-08-24 15:35,6147,2014-08-24 15:46,6113,636,1
1123122,2014-07-02 19:51,6142,2014-07-02 20:05,6078,858,0
204318,2014-05-09 07:17,6734,2014-05-09 07:40,6929,1372,1
2762117,2014-10-06 13:08,6219,2014-10-06 13:15,6186,430,1
1786988,2014-08-07 13:14,6097,2014-08-07 13:30,6032,947,1
666936,2014-06-06 19:20,6067,2014-06-06 19:59,6236,2336,0
1048026,2014-06-28 18:17,6426,2014-06-28 18:22,6425,261,1
2130504,2014-08-27 11:27,6073,2014-08-27 12:49,6175,4948,0
880894,2014-06-19 16:07,6277,2014-06-19 16:17,6266,612,1
2997057,2014-10-29 17:03,6049,2014-10-29 17:29,6195,1601,1
2370998,2014-09-09 20:05,6099,2014-09-09 20:13,6202,518,1
3000938,2014-10-29 20:51,6363,2014-10-29 20:58,6339,383,1
2812848,2014-10-10 18:24,6038,2014-10-10 18:26,6040,118,1
362821,2014-05-19 22:37,6195,2014-05-19 22:44,6211,415,1
3053228,2014-11-04 18:01,6312,2014-11-04 18:07,6717,371,1
269895,2014-05-13 14:52,6131,2014-05-13 14:57,6151,285,1
2037741,2014-08-22 13:29,6221,2014-08-22 13:39,6214,625,1
1203944,2014-07-07 08:05,6120,2014-07-07 08:21,6004,965,1
311167,2014-05-15 18:48,6211,2014-05-15 18:53,6012,323,1
782799,2014-06-14 13:22,6266,2014-06-14 13:32,6912,585,1
1035823,2014-06-28 00:55,6136,2014-06-28 01:07,6129,749,1
173798,2014-05-07 10:04,6207,2014-05-07 10:14,6068,595,1
61720,2014-04-25 10:31,6310,2014-04-25 10:45,6207,843,1
2108148,2014-08-26 09:44,6184,2014-08-26 09:50,6155,348,1
188353,2014-05-08 08:16,6375,2014-05-08 08:21,6724,286,1
2137697,2014-08-27 17:17,6245,2014-08-27 17:38,6154,1256,1
1212529,2014-07-07 19:40,6221,2014-07-07 19:44,6184,249,1
1381122,2014-07-16 20:01,6213,2014-07-16 20:11,6148,599,1
778728,2014-06-14 01:17,6184,2014-06-14 01:30,6373,776,1
3011426,2014-10-30 18:45,6087,2014-10-30 18:52,6031,398,1
2174353,2014-08-29 14:32,6310,2014-08-29 14:39,6316,419,1
1553147,2014-07-25 14:15,6394,2014-07-25 14:34,6012,1173,1
1852455,2014-08-10 20:38,10002,2014-08-10 20:59,6026,1241,1
1985751,2014-08-19 19:19,6322,2014-08-19 19:40,6248,1238,1
2273351,2014-09-04 09:30,6206,2014-09-04 09:51,6158,1269,1
1931807,2014-08-16 11:19,6150,2014-08-16 11:25,6265,343,1
2286745,2014-09-04 19:53,6149,2014-09-04 20:01,6155,473,1
811912,2014-06-16 08:37,6373,2014-06-16 09:05,6901,1676,1
767984,2014-06-12 19:32,6062,2014-06-12 19:44,6211,699,1
487924,2014-05-27 17:26,6221,2014-05-27 17:35,6913,556,1
1339257,2014-07-14 18:02,6159,2014-07-14 18:03,6170,106,1
410496,2014-05-22 13:22,6916,2014-05-22 13:51,6424,1737,1
1630952,2014-07-30 14:22,6744,2014-07-30 14:36,6742,853,1
224263,2014-05-10 15:08,6389,2014-05-10 15:23,6157,887,1
1033788,2014-06-27 22:14,6152,2014-06-27 22:32,6364,1091,1
2631431,2014-09-26 23:35,6018,2014-09-26 23:45,6204,623,1
1349684,2014-07-15 09:18,6156,2014-07-15 09:33,6052,933,1
477668,2014-05-26 15:47,6034,2014-05-26 16:06,6093,1142,1
342910,2014-05-18 15:47,6722,2014-05-18 16:08,6383,1235,1
2404722,2014-09-11 18:59,6302,2014-09-11 19:15,6188,920,1
613949,2014-06-03 22:34,6138,2014-06-03 23:48,6709,4427,0
1749447,2014-08-05 16:45,6035,2014-08-05 16:50,6041,283,1
270938,2014-05-13 16:06,6148,2014-05-13 16:14,6126,445,1
1264818,2014-07-10 16:00,6178,2014-07-10 16:05,6142,269,1
65555,2014-04-25 16:35,6014,2014-04-25 16:44,6042,554,1
1673511,2014-08-01 17:44,6913,2014-08-01 17:54,6165,608,1
2972290,2014-10-27 12:37,6032,2014-10-27 12:44,6073,400,1
3124214,2014-11-13 19:05,6926,2014-11-13 19:29,6164,1417,1
1458489,2014-07-20 18:01,6166,2014-07-20 18:17,6327,954,1
2342967,2014-09-08 15:49,6423,2014-09-08 16:18,6034,1731,1
1161327,2014-07-04 18:35,6097,2014-07-04 18:40,6063,312,1
926214,2014-06-21 18:30,6136,2014-06-21 18:36,6199,347,0
1762644,2014-08-06 09:39,6163,2014-08-06 09:53,6106,801,1
1878013,2014-08-12 08:32,6231,2014-08-12 08:46,6032,868,1
2110130,2014-08-26 12:11,6217,2014-08-26 12:14,6184,172,1
1179502,2014-07-05 17:39,6088,2014-07-05 18:02,6023,1379,0
2448854,2014-09-15 16:14,6081,2014-09-15 16:20,6057,326,1
2979765,2014-10-28 06:24,6929,2014-10-28 06:33,6389,546,1
392650,2014-05-21 15:35,6411,2014-05-21 15:50,6180,889,0
47773,2014-04-23 21:31,6401,2014-04-23 21:36,6085,289,1
790633,2014-06-14 20:39,6181,2014-06-14 20:41,6221,92,1
1132634,2014-07-03 10:25,6149,2014-07-03 10:36,6167,706,1
2080869,2014-08-24 20:06,6114,2014-08-24 20:12,6902,380,1
1590993,2014-07-27 17:51,6216,2014-07-27 18:12,6910,1264,1
358670,2014-05-19 17:25,6216,2014-05-19 18:03,6354,2248,1
359535,2014-05-19 18:08,6386,2014-05-19 18:10,6393,143,1
948512,2014-06-23 08:15,6094,2014-06-23 08:21,6160,412,1
1522496,2014-07-24 06:44,6251,2014-07-24 06:59,6901,912,1
1457826,2014-07-20 17:29,6406,2014-07-20 17:56,6026,1651,0
2979466,2014-10-27 23:44,6267,2014-10-27 23:48,6362,286,1
1154250,2014-07-04 14:20,6234,2014-07-04 14:36,6155,944,1
925707,2014-06-21 18:00,6097,2014-06-21 18:07,6088,407,1
2396049,2014-09-11 09:10,6747,2014-09-11 09:32,6067,1339,1
1531733,2014-07-24 15:07,6078,2014-07-24 15:16,6100,560,1
2899325,2014-10-18 20:28,6361,2014-10-18 20:35,6912,381,1
2948699,2014-10-24 15:53,6360,2014-10-24 15:56,6359,188,1
69037,2014-04-25 19:50,6177,2014-04-25 19:55,6186,336,1
2794461,2014-10-09 11:08,6173,2014-10-09 11:14,6137,360,1
1562790,2014-07-25 20:39,6389,2014-07-25 20:44,6249,284,1
1145644,2014-07-03 22:23,6177,2014-07-03 22:31,6192,466,1
1584617,2014-07-27 10:23,6159,2014-07-27 10:27,6184,194,1
1328946,2014-07-14 09:12,6306,2014-07-14 09:37,6035,1464,1
1759927,2014-08-06 08:06,6375,2014-08-06 08:27,6036,1264,1
2168897,2014-08-29 09:13,6052,2014-08-29 09:20,6043,419,1
2436588,2014-09-14 16:21,6059,2014-09-14 16:27,6012,385,0
3035444,2014-11-02 16:49,6037,2014-11-02 17:10,6032,1306,0
180099,2014-05-07 17:14,6058,2014-05-07 17:35,6304,1304,1
2153824,2014-08-28 14:40,6169,2014-08-28 14:50,6201,618,1
3127100,2014-11-14 08:51,6048,2014-11-14 08:57,6040,312,1
1139998,2014-07-03 17:31,6248,2014-07-03 17:47,6038,937,1
920799,2014-06-21 14:08,6129,2014-06-21 14:20,6166,718,1
3020459,2014-10-31 16:15,6424,2014-10-31 16:39,6724,1427,1
1215948,2014-07-08 07:30,6142,2014-07-08 07:40,6034,614,1
3023445,2014-10-31 19:32,6344,2014-10-31 19:42,6923,560,1
1224939,2014-07-08 15:36,6310,2014-07-08 15:43,6315,437,1
654867,2014-06-06 08:57,6906,2014-06-06 09:07,6213,595,1
1502900,2014-07-22 20:56,6184,2014-07-22 21:03,6213,455,1
1788541,2014-08-07 15:03,6060,2014-08-07 15:07,6080,203,1
1085051,2014-06-30 19:06,6206,2014-06-30 19:22,6157,968,1
1067159,2014-06-29 19:39,6201,2014-06-29 19:48,6181,542,1
2245561,2014-09-02 19:31,6004,2014-09-02 19:40,6003,512,1
2149817,2014-08-28 09:58,6157,2014-08-28 10:08,6147,569,1
2551410,2014-09-22 13:05,6223,2014-09-22 13:11,6184,355,1
1501650,2014-07-22 19:47,6741,2014-07-22 19:54,6041,410,1
2724554,2014-10-02 20:34,6253,2014-10-02 20:39,6340,285,1
1489329,2014-07-22 10:31,6003,2014-07-22 10:35,6025,271,1
261216,2014-05-12 20:39,6269,2014-05-12 20:44,6340,276,1
2394858,2014-09-11 08:02,6166,2014-09-11 08:18,6901,941,1
411802,2014-05-22 15:10,6306,2014-05-22 15:30,6014,1205,1
2613944,2014-09-26 07:49,6063,2014-09-26 07:51,6060,153,1
375648,2014-05-20 17:14,6424,2014-05-20 17:37,6142,1344,1
2622872,2014-09-26 16:06,6411,2014-09-26 16:23,6436,980,0
3050148,2014-11-04 13:44,6367,2014-11-04 13:55,6273,657,1
1680245,2014-08-01 23:51,6227,2014-08-02 00:08,6371,1013,1
677334,2014-06-07 13:09,6058,2014-06-07 13:19,6080,616,0
1533911,2014-07-24 16:39,6156,2014-07-24 16:43,6184,263,1
2374551,2014-09-10 07:27,6163,2014-09-10 07:29,6164,80,1
882045,2014-06-19 16:47,6155,2014-06-19 16:54,6179,409,1
1584927,2014-07-27 10:59,6203,2014-07-27 11:08,6064,534,0
1060626,2014-06-29 13:57,6241,2014-06-29 14:10,6184,757,1
2267791,2014-09-03 22:51,6411,2014-09-03 22:53,6206,128,1
403233,2014-05-22 00:12,6903,2014-05-22 00:17,6381,297,1
638694,2014-06-05 09:23,6142,2014-06-05 09:30,6248,416,1
2231000,2014-09-02 07:39,6303,2014-09-02 08:07,6180,1657,1
1417858,2014-07-18 16:03,6215,2014-07-18 16:14,6060,658,1
1247606,2014-07-09 18:13,6067,2014-07-09 18:26,6020,733,1
213277,2014-05-09 17:31,6204,2014-05-09 17:35,6078,250,1
1504370,2014-07-22 22:45,6268,2014-07-22 22:55,6344,612,1
